No.,English,Mauritian Creole,Haitian Creole,Antillean Creole,
,,Kreol,kreyòl,kreyòl,
1,I,mo,mwen,mwen,
2,you (singular),"to (informal), ou (formal), twa (objective)",ou,ou,
3,he,li,li,"i, li",
4,we,nou,nou,nou,
5,you (plural),zot,nou,zot,
6,they,"zot, bann-la",yo,yo,
7,this,sa,sa,si,
8,that,"sa, seki",sa a,sa,
9,here,isi,isit,isi,
10,there,la-ba,"la, isit la",la,
11,who,"ki, ki sann-la","kilès, kimoun","ki, ki moun",
12,what,ki,kisa,kisa,
13,where,kot,ki kote,"ki koté, oti",
14,when,kan,kilè,"lè, ki lè",
15,how,kouma,"kòman, kijan","kouman, ki mannyè",
16,not,pa,pa,pa,
17,all,tou,tout,tout,
18,many,boukou,anpil,"anpil, anlo, anchay",
19,some,detrwa,"kèk, detwa",yonndé,
20,few,inpe,"enpe, tikras, tikal",tibwen,
21,other,lot,lòt,lot,
22,one,enn,"en, youn, yon","yonn, an",
23,two,de,de,dé,
24,three,trwa,twa,twa,
25,four,kat,kat,kat,
26,five,sink,senk,"senk, sen",
27,big,gro,gran,gran,
28,long,long,long,long,
29,wide,larg,laj,laj,
30,thick,epe,"epè, pwès",épé,
31,heavy,lour,lou,lou,
32,small,piti,piti,"piti, ti",
33,short,kour,kout,"toupiti, pa long",
34,narrow,etraw,jennen,étwet,
35,thin,minse,fen,"fen, piti",
36,woman,fam,fanm,fanm,
37,man (adult male),zom,nonm,nonm,
38,man (human being),dimounn,moun,moun,
39,child,zenfan,"pitit, timoun",ti mamay,
40,wife,fam,madanm,"fanm, madanm",
41,husband,"mari, misie",mari,mawi,
42,mother,mama,manman,manman,
43,father,papa,papa,papa,
44,animal,zanimo,"zannimo, bèt",bet,
45,fish,pwason,pwason,pwason,
46,bird,zwazo,zwazo,zwézo,
47,dog,lisien,chen,chyen,
48,louse,lipou,pou,pou,
49,snake,serpan,koulèv,"sèpan, bet-long",
50,worm,lever,vè,vè,
51,tree,pie,pyebwa,piébwa,
52,forest,fore,forè,"fonbwa, granbwa",
53,stick,brans,baton,baton,
54,fruit,frwi,fwi,fwi,
55,seed,grenn,grenn,grenn,
56,leaf,fey,fèy,fey,
57,root,rasine,rasin,rasin,
58,bark (of a tree),tron,"kòs, po",lapo piébwa,
59,flower,fler,flè,flè,
60,grass,lerb,zèb,zeb,
61,rope,lakord,kòd,kod,
62,skin,lapo,po,lapo,
63,meat,laviann,vyann,viann,
64,blood,disan,san,san,
65,bone,lezo,zo,zo,
66,fat (noun),lagres,grès,gra,
67,egg,dizeff,ze,zé,
68,horn,korn,kòn,konn,
69,tail,lake,ke,latjé,
70,feather,plim,plim,plim,
71,hair,seve,cheve,chivé,
72,head,latet,tèt,tet,
73,ear,zorey,zòrèy,zorèy,
74,eye,lizie,je,zié,
75,nose,nene,nen,nen,
76,mouth,labous,bouch,djol,
77,tooth,ledan,dan,dan,
78,tongue (organ),lalang,lang,lang,
79,fingernail,zongle,zong,zong,
80,foot,lipie,pye,pié,
81,leg,lazam,"janm, pye",janm,
82,knee,zenou,jenou,jounou,
83,hand,lame,men,lanmen,
84,wing,lezel,zèl,zel,
85,belly,vantr,vant,bouden,
86,guts,lintestin,zantray,zantray,
87,neck,licou,kou,kou,
88,back,ledo,do,do,
89,breast,"sein, doudou, tete","tete, sen","fal, tété",
90,heart,leker,kè,tjè,
91,liver,lefwa,fwa,fwa,
92,to drink,bwar,bwè,bwè,
93,to eat,manze,manje,manjé,
94,to bite,morde,mòde,mod,
95,to suck,souse,souse,sisé,
96,to spit,crase,krache,kraché,
97,to vomit,vomi,vomi,vonmi,
98,to blow,soufle,soufle,souflé,
99,to breathe,respire,respire,respiré,
100,to laugh,riye,ri,ri,
101,to see,trouve,wè,wè,
102,to hear,tende,tande,tann,
103,to know,kone,konnen,sav,
104,to think,panse,panse,sonjé,
105,to smell,senti,santi,pran lodè,
106,to fear,per,pè,pè,
107,to sleep,dormi,dòmi,dòmi,
108,to live,viv,viv,viv,
109,to die,mor,mouri,mò,
110,to kill,touye,touye,tjwé,
111,to fight,lager,"goumen, batay",goumen,
112,to hunt,chase,chase,chasé,
113,to hit,tape,frape,"ba kou, ba tjok",
114,to cut,koupe,koupe,koupé,
115,to split,fann,separe,fann,
116,to stab,pwagnarde,pike,pèsé,
117,to scratch,grate,grate,"grafiyen, tjiré",
118,to dig,fouye,fouye,fouyé,
119,to swim,naze,naje,najé,
120,to fly,vole,vole,volé,
121,to walk,marse,mache,maché,
122,to come,vini,vini,"vini, rivé",
123,to lie (as in a bed),allonze,"kouche, blayi",lonjé,
124,to sit,asize,chita,sizé,
125,to stand,deboute,"leve, kanpe","lévé, doubout",
126,to turn (intransitive),tourne,vire,tounen,
127,to fall,tonbe,tonbe,tonbé,
128,to give,"to give, done",bay,ba,
129,to hold,tini,kenbe,tjenbé,
130,to squeeze,sere,sere,séré,
131,to rub,frote,fwote,fwoté,
132,to wash,lave,lave,lavé,
133,to wipe,souyer,siye,suiyé,
134,to pull,"rise, tire",tire,ralé,
135,to push,pouse,pouse,bouré,
136,to throw,"avoye, lanse","voye, jete",ladjé atè,
137,to tie,atase,mare,lianné,
138,to sew,koud,koud,koud,
139,to count,konte,konte,konté,
140,to say,dir,di,di,
141,to sing,sante,chante,bay lavwa,
142,to play,zwe,jwe,jwé,
143,to float,flote,flote,floté,
144,to flow,koule,koule,koulé,
145,to freeze,glase,glase,glasé,
146,to swell,anfle,anfle,anflé,
147,sun,soley,solèy,soley,
148,moon,lalinn,lalin,lalin,
149,star,zetwal,zetwal,zétwel,
150,water,"delo, dilo",dlo,dlo,
151,rain,lapli,lapli,lapli,
152,river,larivier,rivyè,lariviè,
153,lake,lak,lak,lak,
154,sea,lamer,lanmè,lanmè,
155,salt,disel,sèl,sel,
156,stone,ros,wòch,roch,
157,sand,disab,sab,sab,
158,dust,pousyer,pousyè,"pousiè, rakli",
159,earth,later,latè,latè,
160,cloud,niaz,nyaj,niyaj,
161,fog,brouyar,bwouya,bwouya,
162,sky,lesiel,syèl,siel,
163,wind,divan,van,van,
164,snow,lanez,"nèj, lanèj",laglas,
165,ice,glas,glas,glas,
166,smoke,lafime,lafimen,lafimen,
167,fire,dife,dife,difé,
168,ash,sann,sann,sann,
169,to burn,brile,boule,brilé,
170,road,"semin, sime","chemen, wout",chimen,
171,mountain,montagn,"mòn, montay","montay, monn",
172,red,rouz,wouj,wouj,
173,green,ver,vèt,vè,
174,yellow,zonn,jòn,jonn,
175,white,blan,blan,blan,
176,black,nwar,nwa,nwè,
177,night,nwi,lannuit,lannuit,
178,day,zour,jou,"lajounen, jou",
179,year,lane,"ane, lane",lanné,
180,warm,cho,cho,cho,
181,cold,fre,frèt,fwèt,
182,full,plen,plen,plen,
183,new,"nef, nouvo","nouvo, nèf",dènié,
184,old,vie,"vye, aje","vié, bon laj",
185,good,bon,bon,bon,
186,bad,move,move,mové,
187,rotten,pouri,pouri,pouri,
188,dirty,sal,sal,sal,
189,straight,drwat,dwat,dwet,
190,round,ron,won,won,
191,sharp (as a knife),fite,"file, koupe",filé,
192,dull (as a knife),defite,"defile, febli",[[#Antillean Creole|]],
193,smooth,lis,lis,lis,
194,wet,mouye,mouye,"plen dlo, mouyé",
195,dry,sek,sèk,sek,
196,correct,ena raison,kòrèk,"vré, korek",
197,near,pre,toupre,"bò, pabò, toupré",
198,far,lwen,lwen,lwen,
199,right,drwat,"dwat, adwat",dwet,
200,left,gos,"gòch, agòch",goch,
201,at,a,a,a,
202,in,andan,"nan, anndan","an, adan",
203,with,"ar, avek, ek","ak, avèk",épi,
204,and,e,"ak, epi, e","èk, é, épi",
205,if,si,si,si,
206,because,"akoz, parski","paske, akòz, poutèt","padavré, davré",
207,name,non,non,non,
,,,,,
,,,,,
